,occupation_name,state_name,label,value
0,Assemblers,Alabama,employment,0.0017408988758737776
1,Building and Related Trades Workers (excluding Electricians),Alabama,employment,0.007369749757257429
2,Business and administration professionals,Alabama,employment,0.01300305394473304
3,"Chief executives, senior officials and legislators",Alabama,employment,0.010292210506485107
4,Cleaners and helpers,Alabama,employment,0.00637919520575245
5,Commissioned armed forces officers,Alabama,employment,0.0017077196813516566
6,Drivers and mobile plant operators,Alabama,employment,0.011337768982482016
7,Electrical and Electronics Trades Workers,Alabama,employment,0.0035436755955560407
8,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Alabama,employment,0.006111113700173
9,General and keyboard clerks,Alabama,employment,0.012372265811790439
10,Handicraft and printing workers,Alabama,employment,0.0017695128178492336
11,Health professionals,Alabama,employment,0.012818080079144008
12,Information and communications technology professionals,Alabama,employment,0.006207914705201498
13,"Labourers in mining, construction, manufacturing and transport",Alabama,employment,0.010608274153571873
14,"Legal, social and cultural professionals",Alabama,employment,0.006165896391069281
15,Market-oriented skilled agricultural workers,Alabama,employment,0.001962109822227368
16,"Metal, machinery and related trades workers",Alabama,employment,0.012236481675885022
17,Personal service workers,Alabama,employment,0.015067533422132082
18,Production and Specialized Services Managers,Alabama,employment,0.007628928607716346
19,Sales workers,Alabama,employment,0.01204862892476662
20,Science and engineering professionals,Alabama,employment,0.007849687334467897
21,Stationary plant and machine operators,Alabama,employment,0.00462390723629895
22,Teaching professionals,Alabama,employment,0.010017786674451289
23,Assemblers,Alabama,job_offer_data,0.0016544850275277444
24,Building and Related Trades Workers (excluding Electricians),Alabama,job_offer_data,0.007333445806688509
25,Business and administration professionals,Alabama,job_offer_data,0.012986950233065609
26,"Chief executives, senior officials and legislators",Alabama,job_offer_data,0.010234529803604005
27,Cleaners and helpers,Alabama,job_offer_data,0.006343252993796015
28,Commissioned armed forces officers,Alabama,job_offer_data,0.0016276408947838703
29,Drivers and mobile plant operators,Alabama,job_offer_data,0.011343941852683592
30,Electrical and Electronics Trades Workers,Alabama,job_offer_data,0.003484556374523492
31,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Alabama,job_offer_data,0.006065083241569623
32,General and keyboard clerks,Alabama,job_offer_data,0.012362515364476388
33,Handicraft and printing workers,Alabama,job_offer_data,0.0016943133977687784
34,Health professionals,Alabama,job_offer_data,0.012769652128287233
35,Information and communications technology professionals,Alabama,job_offer_data,0.00625083247537618
36,"Labourers in mining, construction, manufacturing and transport",Alabama,job_offer_data,0.010664252888982142
37,"Legal, social and cultural professionals",Alabama,job_offer_data,0.006216876732445076
38,Market-oriented skilled agricultural workers,Alabama,job_offer_data,0.0018912194206845896
39,"Metal, machinery and related trades workers",Alabama,job_offer_data,0.01229543990489558
40,Personal service workers,Alabama,job_offer_data,0.015097837134767792
41,Production and Specialized Services Managers,Alabama,job_offer_data,0.007605688896951576
42,Sales workers,Alabama,job_offer_data,0.012046870637853077
43,Science and engineering professionals,Alabama,job_offer_data,0.007846502477432578
44,Stationary plant and machine operators,Alabama,job_offer_data,0.0045894480256921276
45,Teaching professionals,Alabama,job_offer_data,0.009988452364184263
46,Business and administration professionals,Alaska,employment,0.0025061869149717933
47,"Chief executives, senior officials and legislators",Alaska,employment,0.0028736294188139093
48,Cleaners and helpers,Alaska,employment,0.0031013018514566178
49,Drivers and mobile plant operators,Alaska,employment,0.0019443618993839082
50,Electrical and Electronics Trades Workers,Alaska,employment,0.0008118253182905395
51,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Alaska,employment,0.0014018050803270917
52,General and keyboard clerks,Alaska,employment,0.002451540883394664
53,Health professionals,Alaska,employment,0.002069502729326897
54,Information and communications technology professionals,Alaska,employment,0.0012360354039648762
55,"Labourers in mining, construction, manufacturing and transport",Alaska,employment,0.0026100946829012888
56,"Legal, social and cultural professionals",Alaska,employment,0.0018290507164246204
57,"Metal, machinery and related trades workers",Alaska,employment,0.0019003834751428325
58,Personal service workers,Alaska,employment,0.004085804843603515
59,Production and Specialized Services Managers,Alaska,employment,0.0013358821891969574
60,Sales workers,Alaska,employment,0.0027458650793365704
61,Science and engineering professionals,Alaska,employment,0.0019524006871797712
62,Teaching professionals,Alaska,employment,0.0023146764366376474
63,Business and administration professionals,Alaska,job_offer_data,0.0024901193582995743
64,"Chief executives, senior officials and legislators",Alaska,job_offer_data,0.002871601345532003
