date,initial,clean_removed,same_text,same_link,total_tweets,Duplicates Percent
2006-11-30,1,0,0,0,1,0.0
2007-01-31,8,0,0,0,8,0.0
2007-02-28,10,0,1,0,9,10.0
2007-03-31,54,0,7,0,47,12.962962962962962
2007-04-30,96,0,9,0,87,9.375
2007-05-31,128,0,32,0,96,25.0
2007-06-30,130,0,26,0,104,20.0
2007-07-31,189,0,52,0,137,27.513227513227513
2007-08-31,199,0,30,0,169,15.07537688442211
2007-09-30,238,0,72,0,166,30.252100840336134
2007-10-31,279,0,71,0,208,25.448028673835125
2007-11-30,304,0,58,0,246,19.078947368421055
2007-12-31,282,0,49,0,233,17.375886524822697
2008-01-31,457,0,52,0,405,11.37855579868709
2008-02-29,637,0,111,0,526,17.425431711145997
2008-03-31,1088,0,215,0,873,19.761029411764707
2008-04-30,1618,0,163,0,1455,10.074165636588381
2008-05-31,2417,0,236,0,2181,9.764170459247
2008-06-30,2784,0,376,0,2408,13.505747126436782
2008-07-31,4176,0,879,0,3297,21.048850574712645
2008-08-31,5086,0,902,0,4184,17.73495871018482
2008-09-30,6330,0,1122,0,5208,17.725118483412324
2008-10-31,8525,0,1375,0,7150,16.129032258064516
2008-11-30,10249,0,2026,0,8223,19.767782222655867
2008-12-31,12037,0,1065,0,10972,8.847719531444712
2009-01-31,21896,0,1664,0,20232,7.599561563755937
2009-02-28,33359,0,2502,0,30857,7.500224826883301
2009-03-31,69331,0,6332,0,62999,9.132999668258067
2009-04-30,103309,0,8804,0,94505,8.522006795148535
2009-05-31,155114,0,16333,0,138781,10.529674948747372
2009-06-30,207314,0,18161,0,189153,8.760141620922852
2009-07-31,247394,0,26991,0,220403,10.910127165573943
2009-08-31,220937,0,19369,0,201568,8.76675251315986
2009-09-30,267916,0,26232,0,241684,9.791128562683827
2009-10-31,273163,0,24006,0,249157,8.78815945058445
2009-11-30,240274,0,13283,0,226991,5.528271889592714
2009-12-31,266025,0,31900,0,234125,11.991354196034207
2010-01-31,309816,0,32332,0,277484,10.435871614119348
2010-02-28,289094,0,11535,0,277559,3.9900516786927436
2010-03-31,377746,0,19954,0,357792,5.282385518311246
2010-04-30,414741,0,26853,0,387888,6.4746432110642544
2010-05-31,430312,0,29208,0,401104,6.787633159196119
2010-06-30,420508,0,28991,0,391517,6.894280251505322
2010-07-31,465273,0,31205,11,434057,6.709179342020706
2010-08-31,505784,0,40406,576,464802,8.102668332727013
2010-09-30,387721,0,19507,1223,366991,5.346628116609624
2010-10-31,424197,0,26741,1799,395657,6.72800609150937
2010-11-30,439633,0,49556,2382,387695,11.813944813059985
2010-12-31,386689,0,18979,2061,365649,5.441065041932923
2011-01-31,492918,0,20671,4310,467937,5.0679829099363385
2011-02-28,544726,0,45641,3647,495438,9.048218737493713
2011-03-31,598698,0,24990,5456,568252,5.085368583158788
2011-04-30,588588,0,25790,6110,556688,5.419750317709501
2011-05-31,592296,0,20523,7339,564434,4.704066885476181
2011-06-30,655690,0,17029,39244,599417,8.582256859186506
2011-07-31,908306,0,14347,79808,814151,10.366000004403803
2011-08-31,878603,0,22012,123422,733169,16.552868587974316
2011-09-30,966502,0,34621,227035,704846,27.072473724834506
2011-10-31,944886,0,21962,209846,713078,24.532906615189557
2011-11-30,889005,0,20615,215374,653016,26.545295020837905
2011-12-31,869512,0,23615,216201,629696,27.580527928309213
2012-01-31,1037389,0,30557,226975,779857,24.825017423550857
2012-02-29,1045158,0,24871,206082,814205,22.097424504237637
2012-03-31,1247611,0,32742,267146,947723,24.036979475172952
2012-04-30,1236088,0,34796,271731,929561,24.79815352952217
2012-05-31,1235027,0,47758,322249,865020,29.95942598825775
2012-06-30,1142412,0,30023,272750,839639,26.502960403076997
2012-07-31,1167106,0,38225,267789,861092,26.219897764213364
2012-08-31,1199042,0,25149,295760,878133,26.76378308683099
2012-09-30,1094063,0,24080,276469,793514,27.470904326350492
2012-10-31,1100423,0,24491,264172,811760,26.232003511376988
2012-11-30,1059085,0,27974,249928,781183,26.239820222172916
2012-12-31,1089410,0,62930,249175,777305,28.648993491890106
2013-01-31,1270430,0,37190,284605,948635,25.32961280826177
2013-02-28,1271503,0,34568,281388,955547,24.849017265393787
2013-03-31,1638111,0,44708,397887,1195516,27.018620838270422
2013-04-30,1792357,0,65142,474481,1252734,30.106892767456483
2013-05-31,1395826,0,46425,329349,1020052,26.921263825147264
2013-06-30,1076464,0,31021,236721,808722,24.872359874552238
2013-07-31,991916,0,17765,198442,775709,21.796906189637024
2013-08-31,1071881,0,21112,237241,813528,24.102768870798158
2013-09-30,994920,0,15574,219858,759488,23.66341012342701
2013-10-31,1114903,0,35770,235113,844020,24.29655315305457
2013-11-30,957191,0,17020,199020,741151,22.570208035804768
2013-12-31,881305,0,16704,195927,668674,24.126834637270868
2014-01-31,1033511,0,15252,205104,813155,21.321108338469546
2014-02-28,986191,0,15772,186195,784224,20.479501435320337
2014-03-31,1200094,0,46757,238031,915306,23.730474446168383
2014-04-30,1270898,0,49275,252699,968924,23.760679456573225
2014-05-31,1136755,0,23556,219659,893540,21.395551372107448
2014-06-30,1119586,0,27115,218702,873769,21.956062330182764
2014-07-31,1199084,0,24313,265925,908846,24.204976465368564
2014-08-31,1259425,0,33377,319623,906425,28.02866387438712
2014-09-30,1294939,0,39465,328270,927204,28.39786275646961
2014-10-31,1300572,0,35470,290648,974454,25.074967014513618
2014-11-30,1149249,0,32955,243703,872591,24.07293806651126
2014-12-31,1080995,0,24046,240828,816121,24.502796035134295
2015-01-31,1223383,0,20842,268490,934051,23.650156982727406
2015-02-28,1191651,0,18223,250507,922921,22.551065706318376
2015-03-31,1388812,0,30620,316193,1041999,24.971918445405137
2015-04-30,1550441,0,46551,470398,1033492,33.34206203267328
2015-05-31,1356837,0,30049,318658,1008130,25.69999196661058
2015-06-30,1334631,0,28638,278492,1027501,23.012353227221606
2015-07-31,1393453,0,26212,319011,1048230,24.77464256060305
2015-08-31,1433705,0,26066,321150,1086489,24.218092285372514
2015-09-30,1381148,0,33812,324580,1022756,25.948848349344168
2015-10-31,1502553,0,34422,379968,1088163,27.579060439132597
2015-11-30,1355323,0,29739,316309,1009275,25.53251143823281
2015-12-31,1334407,0,28040,340833,965534,27.643215300878964
2016-01-31,1606974,0,43373,437463,1126138,29.921828231197267
2016-02-29,1620555,0,52256,362826,1205473,25.613570659434576
2016-03-31,1745644,0,41762,427571,1276311,26.88595154567598
2016-04-30,1610929,0,29870,402022,1179037,26.81012012323324
2016-05-31,1668656,0,53740,431749,1183167,29.09461267031671
2016-06-30,1648403,0,43853,416313,1188237,27.915867661002803
2016-07-31,1566418,0,30800,408661,1126957,28.055155137389892
2016-08-31,1675691,0,25979,431441,1218271,27.297395522205463
2016-09-30,1681374,0,34631,426925,1219818,27.451120333727058
2016-10-31,1951324,0,82859,482831,1385634,28.990060082282593
2016-11-30,1363186,0,27877,326206,1009103,25.974665232770878
2016-12-31,1240239,0,26807,297570,915862,26.154394435266106
2017-01-31,1346779,0,26680,280123,1039976,22.780500735458453
2017-02-28,1336211,0,22729,294260,1019222,23.722974889444856
2017-03-31,1647526,0,53822,351455,1242249,24.59912620498857
2017-04-30,1375819,0,18444,306250,1051125,23.600052041729327
2017-05-31,1349279,0,14752,280730,1053797,21.899251377958155
2017-06-30,1363113,0,24754,303443,1034916,24.077020760567905
2017-07-31,1305262,0,17588,281813,1005861,22.93800018693565
2017-08-31,1372702,0,18809,297238,1056655,23.02371527104936
2017-09-30,1313601,0,15648,283383,1014570,22.764218358542664
2017-10-31,1337663,0,20736,279313,1037614,22.430836466284855
2017-11-30,1232551,0,17121,259915,955515,22.47663585523033
2017-12-31,1082151,0,20009,239739,822403,24.00293489540739
2018-01-31,1324829,0,20478,288895,1015456,23.351919379784107
2018-02-28,1253729,0,17168,256374,980187,21.818271731769784
2018-03-31,1361712,0,19349,282754,1059609,22.185528217420426
2018-04-30,1233669,0,19483,263862,950324,22.967667988739283
2018-05-31,1245005,0,11299,303488,930218,25.283994843394204
2018-06-30,1241538,0,12000,338510,891028,28.231918797491502
2018-07-31,1260415,0,13054,348560,898801,28.690074300924696
2018-08-31,1359928,0,11551,370004,978373,28.057000076474637
2018-09-30,1343417,0,17535,373793,952089,29.129302368512533
2018-10-31,1360666,0,13363,346287,1001016,26.431909079818265
2018-11-30,1175096,0,11333,312602,851161,27.566683913484514
2018-12-31,999715,0,13209,224429,762077,23.77057461376492
2019-01-31,1207019,0,12309,218567,976143,19.12778506386395
2019-02-28,1159032,0,14498,213801,930733,19.697385404371925
2019-03-31,1243267,0,11731,232770,998766,19.666008990828196
2019-04-30,1202542,0,14462,222951,965129,19.74259526902179
2019-05-31,1151243,0,12422,212991,925830,19.579967044316447
2019-06-30,1074745,0,16342,196114,862289,19.76803799971156
2019-07-31,1127234,0,22106,212040,893088,20.771729738457143
2019-08-31,1139052,0,12730,204107,922215,19.036619926043763
2019-09-30,1119647,0,11145,201030,907472,18.95016911580168
2019-10-31,1214062,0,15429,221692,976941,19.53121010294367
2019-11-30,1123613,0,17037,213208,893368,20.491485947563795
2019-12-31,1072769,0,15925,211746,845098,21.222742267906696
2020-01-31,1290218,0,25739,249702,1014777,21.348407788451254
2020-02-29,1197515,0,19390,226862,951263,20.563583754692008
2020-03-31,1206213,0,25784,213088,967341,19.803467546776567
2020-04-30,899611,0,14143,178398,707070,21.402695164910167
2020-05-31,864067,0,10444,174742,678881,21.431902850126207
2020-06-30,871267,0,8445,171148,691674,20.612854612879865
2020-07-31,940981,0,11130,195386,734465,21.946883093282434
2020-08-31,968402,0,12033,199482,756887,21.841652536859694
2020-09-30,1001703,0,13642,217507,770554,23.07560224936932
2020-10-31,1071118,0,15637,229785,825696,22.912694959845695
2020-11-30,998276,0,12687,203385,782204,21.644515144108443
2020-12-31,986023,0,18767,211331,755925,23.335966808076485
2021-01-31,1126399,0,20761,240841,864797,23.224629993457025
2021-02-28,1175208,0,25909,251688,897611,23.621095159324987
