,precision,recall,f1-score,support
Armed Forces Occupations,0.654929577,0.861111111,0.744,108
Managers,0.764448762,0.815966822,0.789368104,1929
Professionals,0.841606134,0.813377535,0.827251091,5128
Technicians and Associate Professionals,0.740106952,0.682445759,0.710107748,4056
Clerical Support Workers,0.573011078,0.668625147,0.617136659,851
Service and Sales Workers,0.740740741,0.725907384,0.733249052,1598
"Skilled Agricultural, Forestry and Fishery Workers",0.564102564,0.754285714,0.645476773,175
Craft and Related Trades Workers,0.727561751,0.710193364,0.71877265,4189
"Plant and Machine Operators, and Assemblers",0.698466337,0.727592743,0.712732095,3693
Elementary Occupations,0.533653846,0.580645161,0.556158664,1147
accuracy,0.734239748,0.734239748,0.734239748,0.734239748
macro avg,0.683862774,0.734015074,0.705425284,22874
weighted avg,0.737620508,0.734239748,0.735167861,22874
