major_category,job_title,major_category_label
0,royal navy commander,Armed Forces Occupations
1,undersecretary of state,Managers
2,astronomy science researcher,Professionals
3,aviation meteorology technician,Technicians and Associate Professionals
4,membership and subscription administrator,Clerical Support Workers
5,ship steward/ship stewardess,Service and Sales Workers
6,crop team leader,"Skilled Agricultural, Forestry and Fishery Workers"
7,residential property builder,Craft and Related Trades Workers
8,miners,"Plant and Machine Operators, and Assemblers"
9,personal maid,Elementary Occupations
