ISCO,job_title,sub_major_category,sub_major_category_label,major_category,major_category_label
1324,train operations specialist,13,Production and Specialized Services Managers,1,Managers
2149,energy conservation systems engineer,21,Science and engineering professionals,2,Professionals
9333,drayman's assistant,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary Occupations
4110,vice president,41,General and keyboard clerks,4,Clerical Support Workers
5141,cosmetologist,51,Personal service workers,5,Service and Sales Workers
2521,database configurator,25,Information and communications technology professionals,2,Professionals
5230,customer adviser,52,Sales workers,5,Service and Sales Workers
2433,senior technical sales engineer,24,Business and administration professionals,2,Professionals
3412,restorative justice worker,34,"Legal, social, cultural and related associate professionals",3,Technicians and Associate Professionals
3111,food researcher,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
8332,cattle transporter,83,Drivers and mobile plant operators,8,"Plant and Machine Operators, and Assemblers"
9412,roundsman,94,Food preparation assistants,9,Elementary Occupations
3432,miniature designer and maker,34,"Legal, social, cultural and related associate professionals",3,Technicians and Associate Professionals
9121,clothing presser,91,Cleaners and helpers,9,Elementary Occupations
7221,chasing tool maker,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
8322,cit driver,83,Drivers and mobile plant operators,8,"Plant and Machine Operators, and Assemblers"
2511,it systems consultant,25,Information and communications technology professionals,2,Professionals
8159,trimmings maker,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
8154,fur dyer,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
3115,gas turbine engine inspector,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
4412,sorter-loader,44,Other clerical support workers,4,Clerical Support Workers
5142,weight loss consultant,51,Personal service workers,5,Service and Sales Workers
7222,engineer's pattern maker,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
8160,flour purifier,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
8160,dairy processing operator,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
2166,digital effects specialist,21,Science and engineering professionals,2,Professionals
3412,sessional worker,34,"Legal, social, cultural and related associate professionals",3,Technicians and Associate Professionals
8172,wood carving machine operative,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
9216,water-based aquaculture worker,92,"Agricultural, forestry and fishery labourers",9,Elementary Occupations
4222,virtual chat operator,42,Customer services clerks,4,Clerical Support Workers
3341,data processing supervisor,33,Business and administration associate professionals,3,Technicians and Associate Professionals
7322,flexographic label press specialist,73,Handicraft and printing workers,7,Craft and Related Trades Workers
1213,programme director,12,Administrative and commercial managers,1,Managers
110,infantry officer,1,Commissioned armed forces officers,0,Armed Forces Occupations
7233,refrigerating greaser,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
8153,sewing maid,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
9333,lamp room attendant,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary Occupations
5223,off-licence store specialised salesperson,52,Sales workers,5,Service and Sales Workers
3131,solar farm worker,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
3334,commercial real estate agents,33,Business and administration associate professionals,3,Technicians and Associate Professionals
7223,flyer cutter,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
2642,digital journalist,26,"Legal, social and cultural professionals",2,Professionals
2132,agricultural chemist,21,Science and engineering professionals,2,Professionals
2133,mineral technician,21,Science and engineering professionals,2,Professionals
3324,B2B sales consultant in hardware,33,Business and administration associate professionals,3,Technicians and Associate Professionals
2142,civil engineering adviser,21,Science and engineering professionals,2,Professionals
5221,drug store keeper,52,Sales workers,5,Service and Sales Workers
5246,table maid,52,Sales workers,5,Service and Sales Workers
2112,electronics calibration technician,21,Science and engineering professionals,2,Professionals
1324,marine transportation general manager,13,Production and Specialized Services Managers,1,Managers
110,royal naval officer,1,Commissioned armed forces officers,0,Armed Forces Occupations
8332,coal deliverer,83,Drivers and mobile plant operators,8,"Plant and Machine Operators, and Assemblers"
5311,nursery officer,53,Personal care workers,5,Service and Sales Workers
1324,maritime water transportation general manager,13,Production and Specialized Services Managers,1,Managers
3331,import export specialist in tobacco products,33,Business and administration associate professionals,3,Technicians and Associate Professionals
7115,window installer,71,Building and Related Trades Workers (excluding Electricians),7,Craft and Related Trades Workers
5131,head sommelier,51,Personal service workers,5,Service and Sales Workers
8212,dental instrument assembly worker,82,Assemblers,8,"Plant and Machine Operators, and Assemblers"
8189,metal bar coverer,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
8122,plating machinist,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
3314,data officer,33,Business and administration associate professionals,3,Technicians and Associate Professionals
1324,graduate import manager in tobacco products,13,Production and Specialized Services Managers,1,Managers
7311,meter assembler,73,Handicraft and printing workers,7,Craft and Related Trades Workers
6224,whipper-in,62,"Market-oriented skilled forestry, fishery and hunting workers",6,"Skilled Agricultural, Forestry and Fishery Workers"
7412,electrical mechanic,74,Electrical and Electronics Trades Workers,7,Craft and Related Trades Workers
7113,stone cutter,71,Building and Related Trades Workers (excluding Electricians),7,Craft and Related Trades Workers
4229,guest concierge,42,Customer services clerks,4,Clerical Support Workers
2632,urban sociology science researcher,26,"Legal, social and cultural professionals",2,Professionals
2120, and gaming games developer,21,Science and engineering professionals,2,Professionals
8350,engine-room rating,83,Drivers and mobile plant operators,8,"Plant and Machine Operators, and Assemblers"
3354,global immigration consultant,33,Business and administration associate professionals,3,Technicians and Associate Professionals
6113,berry picker,61,Market-oriented skilled agricultural workers,6,"Skilled Agricultural, Forestry and Fishery Workers"
7522,fine art framer,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",7,Craft and Related Trades Workers
3434,executive chef,34,"Legal, social, cultural and related associate professionals",3,Technicians and Associate Professionals
2142,wastewater engineering specialist,21,Science and engineering professionals,2,Professionals
7123,stucco mason,71,Building and Related Trades Workers (excluding Electricians),7,Craft and Related Trades Workers
1219,corporate services manager,12,Administrative and commercial managers,1,Managers
2642,crime journalist,26,"Legal, social and cultural professionals",2,Professionals
