ISCO,job_title,category,category_label
3341,customer centre manager,6,Business and administration associate professionals
2519,ICT integration tester,7,Information and communications technology professionals
3423,fitness specialist,8,"Legal, social, cultural and related associate professionals"
5223,specialised dealer,11,Sales workers
2131,pharmacology studies researcher,3,Science and engineering professionals
8172,planer thicknesser worker,18,Stationary plant and machine operators
7515,farm milk analyst,17,"Food processing, wood working, garment and other craft and related trades workers"
3118,mechanical design draughting operator,3,Science and engineering associate professionals
7543,battery test technician,17,"Food processing, wood working, garment and other craft and related trades workers"
5111,cruise ship guest services associate,10,Personal service workers
3311,financial asset manager,6,Business and administration associate professionals
3118,mechanical technology drafter,3,Science and engineering associate professionals
1330,head of it,2,Production and specialised services managers
8151,fibre cutter,18,Stationary plant and machine operators
4323,load control clerk,9,Numerical and material recording clerks
4226,GP surgery receptionist,9,Customer services clerks
1420,assistant supermarket manager,2,"Hospitality, retail and other services managers"
8131,nitroglycerin-separator operator,18,Stationary plant and machine operators
9214,landscaping operative,21,"Agricultural, forestry and fishery labourers"
8350,mate,20,Drivers and mobile plant operators
3122,drawing foreman,3,Science and engineering associate professionals
3323,wine consultant,6,Business and administration associate professionals
7223,metal cnc-press operative,14,"Metal, machinery and related trades workers"
2359,continuing education teacher,5,Teaching professionals
8172,cut-off saw operator,18,Stationary plant and machine operators
5222,till team leader,11,Sales workers
7322,lithographic printing operator,15,Handicraft and printing workers
3133,gas pumping station operative,3,Science and engineering associate professionals
3354,passport issuing administrator,6,Business and administration associate professionals
7536,stitch marker,17,"Food processing, wood working, garment and other craft and related trades workers"
1412,F & B manager,2,"Hospitality, retail and other services managers"
9333,furniture repository keeper,22,"Labourers in mining, construction, manufacturing and transport"
7543,yarn straightener,17,"Food processing, wood working, garment and other craft and related trades workers"
7233,power house fitter,14,"Metal, machinery and related trades workers"
3331,assistant import export specialist in pharmaceutical goods,6,Business and administration associate professionals
8212,sub-assembly line marker,19,Assemblers
3122,leather goods production forewoman,3,Science and engineering associate professionals
2143,filling station recycling co-ordinator,3,Science and engineering professionals
2412,personal financial advisor,6,Business and administration professionals
9629,bill sticker,21,Refuse workers and other elementary workers
2144,agricultural consultant engineer,3,Science and engineering professionals
2114,micropalaeontologist,3,Science and engineering professionals
5112,railway customer service representative,10,Personal service workers
3331,trainee export specialist in wood and construction materials,6,Business and administration associate professionals
2652,music director,8,"Legal, social and cultural professionals"
5222,shop walker,11,Sales workers
2523,ICT performance manager,7,Information and communications technology professionals
1345,head of further education college,2,Production and specialised services managers
7411,mobile power team member,16,Electrical and electronic trades workers
7321,textile screen maker,15,Handicraft and printing workers
5243,travelling saleswoman,11,Sales workers
3118,3D printer repairer,3,Science and engineering associate professionals
1221,chief marketing officer,1,Administrative and commercial managers
8181,fuser,18,Stationary plant and machine operators
1221,marketing executive,1,Administrative and commercial managers
9122,motor cleaner,21,Cleaners and helpers
2330,maths teacher,5,Teaching professionals
3324,senior wholesale merchant in hides,6,Business and administration associate professionals
5223,greengrocery specialised seller,11,Sales workers
8332,cement mixer driver,20,Drivers and mobile plant operators
2656,radio presenter,8,"Legal, social and cultural professionals"
5329,ward help,10,Personal care workers
2152,optoelectronics specialist,3,Science and engineering professionals
3312,debt management adviser,6,Business and administration associate professionals
7212,robotic welder,14,"Metal, machinery and related trades workers"
2151,electrical engineer,3,Science and engineering professionals
7222,gunsmith,14,"Metal, machinery and related trades workers"
9312,reservoir superintendent,22,"Labourers in mining, construction, manufacturing and transport"
