,precision,recall,f1-score,support
Commissioned armed forces officers,0.609375,0.78,0.6842105263157895,50.0
Non-commissioned armed forces officers,0.6190476190476191,0.5652173913043478,0.5909090909090909,23.0
"Armed forces occupations, other ranks",0.5454545454545454,0.5142857142857142,0.5294117647058822,35.0
"Chief executives, senior officials and legislators",0.5357142857142857,0.6382978723404256,0.5825242718446602,94.0
Administrative and commercial managers,0.5408450704225352,0.5853658536585366,0.5622254758418741,328.0
Production and specialised services managers,0.7716371220020855,0.7240704500978473,0.7470974255426552,1022.0
"Hospitality, retail and other services managers",0.7663551401869159,0.8436213991769548,0.8031341821743389,486.0
Science and engineering professionals,0.780281690140845,0.7820440429136082,0.781161872532431,1771.0
Health professionals,0.6781914893617021,0.7412790697674418,0.7083333333333334,344.0
Teaching professionals,0.8952941176470588,0.9190821256038647,0.9070321811680571,828.0
Business and administration professionals,0.6751824817518248,0.6735436893203883,0.6743620899149454,824.0
Information and communications technology professionals,0.7095890410958904,0.8354838709677419,0.7674074074074073,310.0
"Legal, social and cultural professionals",0.7428571428571429,0.7414448669201521,0.7421503330161752,1052.0
Science and engineering associate professionals,0.7302393038433648,0.6598951507208388,0.6932874354561102,1526.0
Health associate professionals,0.6421725239616614,0.6036036036036037,0.6222910216718267,333.0
Business and administration associate professionals,0.7466135458167331,0.6987322893363161,0.7218798151001541,1341.0
"Legal, social, cultural and related associate professionals",0.6735042735042736,0.5996955859969558,0.6344605475040258,657.0
Information and communications technicians,0.6666666666666666,0.6532663316582915,0.6598984771573604,199.0
General and keyboard clerks,0.41228070175438597,0.44761904761904764,0.4292237442922375,105.0
Customer services clerks,0.5805243445692884,0.5783582089552238,0.5794392523364486,268.0
Numerical and material recording clerks,0.5668316831683168,0.661849710982659,0.6106666666666666,346.0
Other clerical support workers,0.37341772151898733,0.45038167938931295,0.4083044982698962,131.0
Personal service workers,0.634765625,0.6539235412474849,0.6442021803766105,497.0
Sales workers,0.8614457831325302,0.7846364883401921,0.8212491026561378,729.0
Personal care workers,0.6331658291457286,0.6028708133971292,0.6176470588235293,209.0
Protective services workers,0.543010752688172,0.6234567901234568,0.5804597701149424,162.0
Market-oriented skilled agricultural workers,0.6518518518518519,0.7394957983193278,0.6929133858267718,119.0
"Market-oriented skilled forestry, fishery and hunting workers",0.4935064935064935,0.6785714285714286,0.5714285714285715,56.0
"Building and related trades workers, excluding electricians",0.5858951175406871,0.6585365853658537,0.6200956937799043,492.0
"Metal, machinery and related trades workers",0.5916376306620209,0.613882863340564,0.6025550035486159,1383.0
Handicraft and printing workers,0.5601799775028121,0.5824561403508772,0.5711009174311926,855.0
Electrical and electronic trades workers,0.6744186046511628,0.7508090614886731,0.7105666156202144,309.0
"Food processing, wood working, garment and other craft and related trades workers",0.5502958579881657,0.5660869565217391,0.5580797256750964,1150.0
Stationary plant and machine operators,0.6381837683232034,0.6359102244389028,0.6370449678800857,2807.0
Assemblers,0.5647321428571429,0.5711060948081265,0.5679012345679012,443.0
Drivers and mobile plant operators,0.6402116402116402,0.54627539503386,0.58952496954933,443.0
Cleaners and helpers,0.4793388429752066,0.4915254237288136,0.4853556485355649,118.0
"Agricultural, forestry and fishery labourers",0.5585585585585585,0.5904761904761905,0.5740740740740741,105.0
"Labourers in mining, construction, manufacturing and transport",0.462015503875969,0.432510885341074,0.44677661169415295,689.0
Food preparation assistants,0.375,0.3829787234042553,0.37894736842105264,47.0
Street and related sales and service workers,0.35,0.4666666666666667,0.4,15.0
Refuse workers and other elementary workers,0.528169014084507,0.43352601156069365,0.4761904761904762,173.0
accuracy,0.665734021159395,0.665734021159395,0.665734021159395,0.665734021159395
macro avg,0.6104394882152854,0.6310200008843948,0.6187029711751331,22874.0
weighted avg,0.6681819289956145,0.665734021159395,0.6660538040840998,22874.0
