ISCO,job_title,category,category_label
7223,welder fabricator installer,29,"Metal, machinery and related trades workers"
2269,podiatric physician,8,Health professionals
2111,evolutionary cosmologist,7,Science and engineering professionals
5142,tanning salon worker,22,Personal service workers
1345,high school principal,5,Production and specialised services managers
2320,business and marketing teacher,9,Teaching professionals
8141,calender machine operator,33,Stationary plant and machine operators
2120,analytics manager,7,Science and engineering professionals
9321,watercress buncher,38,"Labourers in mining, construction, manufacturing and transport"
8151,humidity controller,33,Stationary plant and machine operators
3152,harbour pilot,13,Science and engineering associate professionals
7311,camera repairer,30,Handicraft and printing workers
3421,golfer,16,"Legal, social, cultural and related associate professionals"
2422,healthcare advisor,10,Business and administration professionals
1324,assistant import export manager in  wood and construction materials,5,Production and specialised services managers
3512,systems support analyst,17,Information and communications technicians
2145,metabolic engineer,7,Science and engineering professionals
2511,process architect,11,Information and communications technology professionals
3121,quarry supervisor,13,Science and engineering associate professionals
2144,toolmaker/tooling engineer,7,Science and engineering professionals
7321,photo lithographer,30,Handicraft and printing workers
1324, cocoa and spices supply chain manager,5,Production and specialised services managers
2635,pastoral advisor,12,"Legal, social and cultural professionals"
6221,aquaculture cage technician,27,"Market-oriented skilled forestry, fishery and hunting workers"
1324,international trade compliance manager in machine tools,5,Production and specialised services managers
9213,growing worker,37,"Agricultural, forestry and fishery labourers"
3252,health records supervisor,14,Health associate professionals
3341,office coordinator,15,Business and administration associate professionals
3331,assistant import export specialist in tobacco products,15,Business and administration associate professionals
8153,fanner,33,Stationary plant and machine operators
3521,PA man,17,Information and communications technicians
9520,street trader,40,Street and related sales and service workers
8181,jigger machinist,33,Stationary plant and machine operators
4323,shipping pilot dispatcher,20,Numerical and material recording clerks
2635,community development support worker,12,"Legal, social and cultural professionals"
2521,data architect,11,Information and communications technology professionals
3112,track examiner,13,Science and engineering associate professionals
3331,graduate international trade compliance specialist,15,Business and administration associate professionals
3258,ambulance station attendant,14,Health associate professionals
7543,precision instrument quality control inspector,32,"Food processing, wood working, garment and other craft and related trades workers"
3114,x-ray machine technician,13,Science and engineering associate professionals
9312,section inspector,38,"Labourers in mining, construction, manufacturing and transport"
2412,investment fund assistant,10,Business and administration professionals
2131,anatomy research analyst,7,Science and engineering professionals
3315,insurance engineer,15,Business and administration associate professionals
5164,canine beautician,22,Personal service workers
1420,electrical appliances store manager,6,"Hospitality, retail and other services managers"
9412,kitchen man,39,Food preparation assistants
2114,resource geologist,7,Science and engineering professionals
5112,transport inspector,22,Personal service workers
5112,revenue protection officer,22,Personal service workers
6121,cowman,26,Market-oriented skilled agricultural workers
8219,nutter-up,34,Assemblers
2143,waste treatment technology engineering specialist,7,Science and engineering professionals
8212,dental laser assembler,34,Assemblers
2635,victim care worker,12,"Legal, social and cultural professionals"
1324,senior import export manager in mining,5,Production and specialised services managers
2164,junior transport planner,7,Science and engineering professionals
1321,waste recycling officer,5,Production and specialised services managers
3112,solid waste collection supervisor,13,Science and engineering associate professionals
2149,applied research engineer,7,Science and engineering professionals
3412,portage home visitor,16,"Legal, social, cultural and related associate professionals"
7321,phototypesetting machine engineer,30,Handicraft and printing workers
3321,property insurance assessor,15,Business and administration associate professionals
2330,teacher of chemistry in secondary schools,9,Teaching professionals
5165,learner driver instructor,22,Personal service workers
4221,railway station cashier,19,Customer services clerks
3334,real estage agent mediator,15,Business and administration associate professionals
7231,caravan-body coachbuilder,29,"Metal, machinery and related trades workers"
2269,specialised chiropractor,8,Health professionals
7321,scanning machine tender,30,Handicraft and printing workers
7223,bullet trimming operator,29,"Metal, machinery and related trades workers"
2133,environmental programme coordinator,7,Science and engineering professionals
7543,bobbin slow tester,32,"Food processing, wood working, garment and other craft and related trades workers"
7323,postcard colourist,30,Handicraft and printing workers
2642,crime writer,12,"Legal, social and cultural professionals"
8112,marble driller,33,Stationary plant and machine operators
9333,railway equipment operator,38,"Labourers in mining, construction, manufacturing and transport"
4312,tax clerk,20,Numerical and material recording clerks
3122,vehicle overhauling foreman,13,Science and engineering associate professionals
8151,skeiner,33,Stationary plant and machine operators
8156,machine clicker,33,Stationary plant and machine operators
1411,service flats manager,6,"Hospitality, retail and other services managers"
7536,seat sinker,32,"Food processing, wood working, garment and other craft and related trades workers"
8122,abrasive shot baster,33,Stationary plant and machine operators
5246,airline food preparer,23,Sales workers
2161,interior design project manager,7,Science and engineering professionals
7233,rotating equipment maintainer,29,"Metal, machinery and related trades workers"
3432,model set designer,16,"Legal, social, cultural and related associate professionals"
2133,pipeline environmental impact analyst,7,Science and engineering professionals
3344,PA,15,Business and administration associate professionals
3119,footwear product designer & developer,13,Science and engineering associate professionals
1324,assistant import export manager in watches and jewellery,5,Production and specialised services managers
7532,clothing cutter,32,"Food processing, wood working, garment and other craft and related trades workers"
9622,building maintenance technician,41,Refuse workers and other elementary workers
2651,sign painter,12,"Legal, social and cultural professionals"
8181,slip house worker,33,Stationary plant and machine operators
8157,laundry operative,33,Stationary plant and machine operators
5419,neighbourhood warden,25,Protective services workers
3522,transmission planner,17,Information and communications technicians
7533,coffin trimmer,32,"Food processing, wood working, garment and other craft and related trades workers"
7421,office equipment inspector,31,Electrical and electronic trades workers
7112,bricklaying contractor,28,"Building and related trades workers, excluding electricians"
