index,precision,recall,f1-score,epoch
JOB_TITLE,0.8557300756253636,0.7391959798994975,0.7932057158263682,1
LOC,0.8799256505576208,0.8962514199166982,0.8880135059088351,1
MISC,0.6020833333333333,0.68,0.6386740331491711,1
ORG,0.7875399361022364,0.5376226826608506,0.6390149060272197,1
micro avg,0.8376590330788805,0.7414414414414414,0.7866188769414576,1
macro avg,0.7813197489046385,0.7132675206192616,0.7397270402278986,1
weighted avg,0.8367030409447964,0.7414414414414414,0.7821612860176236,1
JOB_TITLE,0.7896788990825688,0.8650753768844222,0.8256594724220623,2
LOC,0.83496126641967,0.93865959863688,0.8837789661319073,2
MISC,0.6984924623115578,0.6541176470588236,0.675577156743621,2
ORG,0.6666666666666666,0.7339149400218102,0.6986763560861666,2
micro avg,0.7742663656884876,0.8497747747747748,0.8102652206592934,2
macro avg,0.7474498236201158,0.7979418906504839,0.7709229878459393,2
weighted avg,0.7733762033909968,0.8497747747747748,0.8095357746027301,2
JOB_TITLE,0.7778768956289027,0.8763819095477386,0.8241965973534972,3
LOC,0.8551748498763688,0.9166982203710715,0.8848684210526316,3
MISC,0.6271929824561403,0.6729411764705883,0.6492622020431328,3
ORG,0.7135650224215246,0.6941112322791713,0.7037037037037037,3
micro avg,0.7815803244374673,0.840990990990991,0.8101979929481964,3
macro avg,0.7434524375957341,0.7900331346671424,0.7655077310382413,3
weighted avg,0.7803718571837227,0.840990990990991,0.808982993910793,3
JOB_TITLE,0.8452280996361601,0.7587939698492462,0.7996822454653779,4
LOC,0.8492773571920165,0.9344945096554336,0.8898503695691364,4
MISC,0.5647969052224371,0.6870588235294117,0.6199575371549894,4
ORG,0.6410496719775071,0.7459105779716467,0.6895161290322581,4
micro avg,0.7829134720700985,0.804954954954955,0.7937812326485286,4
macro avg,0.7250880085070301,0.7815644702514346,0.7497515703054404,4
weighted avg,0.7908415675700806,0.804954954954955,0.7951446730766133,4
JOB_TITLE,0.7651065699846188,0.8748743718592965,0.8163169616692064,5
LOC,0.8659420289855072,0.9049602423324499,0.885021292353268,5
MISC,0.4937888198757764,0.7482352941176471,0.5949485500467727,5
ORG,0.7228132387706856,0.6668484187568157,0.693703913783324,5
micro avg,0.7684254172281538,0.8347972972972973,0.8002374912290171,5
macro avg,0.7119126644041469,0.7987295817665523,0.7474976794631427,5
weighted avg,0.7733757630002421,0.8347972972972973,0.8008320779501032,5
JOB_TITLE,0.7649028801071668,0.8608040201005025,0.810024825629507,6
LOC,0.8752370117557831,0.873911397198031,0.874573702159909,6
MISC,0.6330935251798561,0.6211764705882353,0.6270783847980997,6
ORG,0.6659929257200606,0.7186477644492911,0.6913191712562287,6
micro avg,0.7691337258200168,0.8238738738738739,0.7955632883862549,6
macro avg,0.7348065856907167,0.768634913084015,0.7507490209609361,6
weighted avg,0.7709808766717993,0.8238738738738739,0.7959499579991975,6
JOB_TITLE,0.8278019586507073,0.7645728643216081,0.794932079414838,7
LOC,0.8567197334320622,0.8761832639151836,0.8663421939348559,7
MISC,0.5950782997762863,0.6258823529411764,0.610091743119266,7
ORG,0.7334669338677354,0.5986913849509269,0.6592614830381266,7
micro avg,0.8077154188198534,0.7568693693693693,0.7814661938259403,7
macro avg,0.7532667314316979,0.7163324665322237,0.7326568748767717,7
weighted avg,0.8057809961196216,0.7568693693693693,0.7793033739831783,7
JOB_TITLE,0.8153578528827038,0.8243718592964824,0.8198400799600198,8
LOC,0.8648255813953488,0.9011737978038622,0.8826256258112368,8
MISC,0.6451612903225806,0.611764705882353,0.6280193236714977,8
ORG,0.6498572787821123,0.7448200654307524,0.6941056910569106,8
micro avg,0.785152462019179,0.8206081081081081,0.8024888497329442,8
macro avg,0.7438005008456864,0.7705326071033625,0.7561476801249163,8
weighted avg,0.7877432897085325,0.8206081081081081,0.8033643970683689,8
JOB_TITLE,0.8092428711897739,0.8271356783919598,0.8180914512922466,9
LOC,0.8455907981875218,0.9185914426353654,0.8805807622504537,9
MISC,0.6060606060606061,0.6588235294117647,0.6313416009019166,9
ORG,0.6654657745753989,0.7050163576881134,0.6846703733121525,9
micro avg,0.7804538642688932,0.8210585585585586,0.8002414663593459,9
macro avg,0.7315900125033252,0.7773917520318008,0.7536710469391923,9
weighted avg,0.7806342244927461,0.8210585585585586,0.800182816923918,9
JOB_TITLE,0.7582658200131377,0.8701005025125628,0.8103428103428102,10
LOC,0.8540274358072458,0.9193487315410829,0.8854850474106492,10
MISC,0.5332197614991482,0.7364705882352941,0.6185770750988142,10
ORG,0.6978211009174312,0.663576881134133,0.6802683063163778,10
micro avg,0.7618314341443384,0.8356981981981982,0.7970570860856022,10
macro avg,0.7108335295592407,0.7973741758557682,0.7486683097921628,10
weighted avg,0.7634917476733031,0.8356981981981982,0.7966483925762547,10
JOB_TITLE,0.8145222929936305,0.8032663316582914,0.8088551549652119,11
LOC,0.869662086891942,0.8867853085952291,0.8781402324709411,11
MISC,0.5391969407265774,0.6635294117647059,0.5949367088607594,11
ORG,0.6580578512396694,0.6946564885496184,0.6758620689655173,11
micro avg,0.78164591825493,0.7989864864864865,0.7902210836999499,11
macro avg,0.7203597929629548,0.7620593851419611,0.7394485413156074,11
weighted avg,0.7854294027678622,0.7989864864864865,0.7917557439713829,11
JOB_TITLE,0.8246153846153846,0.8080402010050252,0.8162436548223352,12
LOC,0.8729034662691018,0.8867853085952291,0.8797896318557475,12
MISC,0.5582706766917294,0.6988235294117647,0.6206896551724138,12
ORG,0.62883295194508,0.7491821155943293,0.6837521771584971,12
micro avg,0.7773118279569893,0.8140765765765766,0.7952695269526954,12
macro avg,0.721155619880324,0.7857077886515871,0.7501187797522484,12
weighted avg,0.785794139262071,0.8140765765765766,0.7984199054370363,12
JOB_TITLE,0.7839520405810468,0.8542713567839196,0.8176025009017676,13
LOC,0.8623655913978494,0.9110185535781901,0.8860246731725281,13
MISC,0.498371335504886,0.72,0.5890279114533205,13
ORG,0.6545820745216515,0.7088331515812432,0.6806282722513088,13
micro avg,0.7620026729721394,0.8346846846846847,0.7966894179609825,13
macro avg,0.6998177605013585,0.7985307654858382,0.7433208394447313,13
weighted avg,0.7668860349838482,0.8346846846846847,0.7987227735489012,13
JOB_TITLE,0.805575935436537,0.8276381909547739,0.8164580493245756,14
LOC,0.8612546125461255,0.883756152972359,0.8723603064847694,14
MISC,0.51183970856102,0.6611764705882353,0.5770020533880903,14
ORG,0.6910902696365768,0.6428571428571429,0.6661016949152543,14
micro avg,0.7828584051248068,0.7981981981981981,0.7904538864726218,14
macro avg,0.7174401315450649,0.7538569893431277,0.7329805260281723,14
weighted avg,0.7844321042143749,0.7981981981981981,0.7905701561827253,14
JOB_TITLE,0.8278270212194467,0.7743718592964824,0.800207711281319,15
LOC,0.8478035281909374,0.9280575539568345,0.886117136659436,15
MISC,0.5174825174825175,0.6964705882352941,0.5937813440320964,15
